/home/sjyothiu/.conda/envs/crisis/bin/python
Train Epoch: 1 	Loss: 0.958335 (ε = 0.17, δ = 1e-05)
Train Epoch: 2 	Loss: 0.521950 (ε = 0.23, δ = 1e-05)
Train Epoch: 3 	Loss: 0.488812 (ε = 0.28, δ = 1e-05)
Train Epoch: 4 	Loss: 0.523181 (ε = 0.32, δ = 1e-05)
Train Epoch: 5 	Loss: 0.579166 (ε = 0.35, δ = 1e-05)
Train Epoch: 6 	Loss: 0.617101 (ε = 0.39, δ = 1e-05)
Train Epoch: 7 	Loss: 0.700554 (ε = 0.42, δ = 1e-05)
Train Epoch: 8 	Loss: 0.864311 (ε = 0.45, δ = 1e-05)
Train Epoch: 9 	Loss: 0.947669 (ε = 0.48, δ = 1e-05)
Train Epoch: 10 	Loss: 0.946038 (ε = 0.50, δ = 1e-05)

Test set: Average loss: 0.0009, Accuracy: 9140/10000 (91.40%)

